protein_accessions	count	number_accessions_group
['GCA_179736']	2	1
['GCA_71322']	2	1
['GCA_78641', 'GCA_268807', 'GCA_182568', 'GCA_144867']	2	4
['GCA_103586']	2	1
['GCA_131427']	2	1
['GCA_236017']	2	1
['GCA_43599', 'GCA_126331']	2	2
['GCA_124203', 'GCA_124198']	2	2
['GCA_84986']	2	1
['GCA_205478']	2	1
['GCA_157906']	2	1
['GCA_58183']	2	1
['GCA_125725', 'GCA_125723']	2	2
['GCA_69704']	2	1
['GCA_157770']	2	1
['GCA_96903', 'GCA_310318', 'GCA_223512', 'GCA_209337', 'GCA_121863', 'GCA_108938']	2	6
['GCA_180283']	2	1
['GCA_158940']	2	1
['GCA_258711']	2	1
['GCA_68985']	2	1
['GCA_298203']	2	1
['GCA_171584']	2	1
['GCA_301479', 'GCA_301479']	2	2
['GCA_180488', 'GCA_103398']	2	2
['GCA_40505', 'GCA_40493', 'GCA_266991']	2	3
['GCA_294591']	2	1
['GCA_196094']	2	1
['GCA_93629']	2	1
['GCA_59670']	2	1
['GCA_284652']	2	1
['GCA_33750', 'GCA_272574']	2	2
['GCA_94878']	2	1
['GCA_234258']	2	1
['GCA_65479']	2	1
['GCA_134272']	2	1
['GCA_146170']	2	1
['GCA_135955', 'GCA_125778']	2	2
['GCA_288723']	2	1
['GCA_43498']	2	1
['GCA_21765']	2	1
['GCA_131454']	2	1
['GCA_129812']	2	1
['GCA_49190']	2	1
['GCA_82003', 'GCA_82002']	2	2
['GCA_122846']	2	1
['GCA_147723']	2	1
['GCA_92646', 'GCA_170293']	2	2
['GCA_192362']	2	1
['GCA_192193']	2	1
['GCA_294862']	2	1
['GCA_280432']	2	1
['GCA_99532']	2	1
['GCA_280770']	2	1
['GCA_296708', 'GCA_296707']	2	2
['GCA_230081']	2	1
['GCA_101322']	2	1
['GCA_289028']	2	1
['GCA_286375', 'GCA_238421']	2	2
['GCA_309539']	2	1
['GCA_139962']	2	1
['GCA_311841', 'GCA_283916']	2	2
['GCA_134416']	2	1
['GCA_204019', 'GCA_204017']	2	2
['GCA_127349']	2	1
['GCA_314681']	2	1
['GCA_124167']	2	1
['GCA_297178']	2	1
['GCA_115677']	2	1
['GCA_140082', 'GCA_135480']	2	2
['GCA_155986']	2	1
['GCA_210539']	2	1
['GCA_185486']	2	1
['GCA_43393']	2	1
['GCA_99340']	2	1
['GCA_308529', 'GCA_117871']	2	2
['GCA_109899']	2	1
['GCA_139274']	2	1
['GCA_109619']	2	1
['GCA_138387']	2	1
['GCA_115070']	2	1
['GCA_195627']	2	1
['GCA_162740']	2	1
['GCA_119715']	2	1
['GCA_130618']	2	1
['GCA_288702', 'GCA_192716']	2	2
['GCA_170129']	2	1
['GCA_252145']	2	1
['GCA_152478']	2	1
['GCA_8554']	2	1
['GCA_297437']	2	1
['GCA_106423']	2	1
['GCA_138278']	2	1
['GCA_211726', 'GCA_15677']	2	2
